Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,0.70,51.00,61.00,87.29
2,0.86,51.00,64.00,74.09
3,0.81,51.00,66.00,81.61
4,0.85,51.00,64.00,75.14
5,0.79,51.00,64.00,80.81
6,0.84,51.00,66.00,78.82
7,0.89,51.00,64.00,72.05
8,0.83,51.00,64.00,77.26
10,0.71,51.00,57.00,80.62
9,0.87,51.00,64.00,73.27
12,0.80,51.00,64.00,79.89
11,0.87,51.00,66.00,75.94
14,0.69,51.00,59.00,86.10
13,0.85,51.00,66.00,77.66
15,0.73,51.00,59.00,81.02
17,0.82,51.00,64.00,77.60
16,0.89,51.00,66.00,74.44
19,0.71,51.00,57.00,80.77
18,0.77,51.00,57.00,74.14
21,0.81,51.00,64.00,79.13
20,0.87,51.00,64.00,73.40
23,0.69,51.00,59.00,85.59
22,0.87,51.00,64.00,73.71
24,0.75,51.00,59.00,78.96
26,0.74,51.00,57.00,76.52
25,0.81,51.00,59.00,73.16
27,0.81,51.00,57.00,70.76
28,0.75,51.00,57.00,76.49
30,0.74,51.00,57.00,76.72
29,0.81,51.00,59.00,73.19
31,0.92,51.00,66.00,71.51
32,0.87,51.00,66.00,76.09
33,0.81,51.00,59.00,73.15
34,0.85,51.00,64.00,75.57
35,0.79,51.00,57.00,72.50
36,0.83,51.00,64.00,76.69
37,0.77,51.00,57.00,73.56
38,0.82,51.00,65.00,79.09
39,0.87,51.00,64.00,73.53
40,0.81,51.00,66.00,81.40
41,0.75,51.00,57.00,75.90
42,0.80,51.00,65.00,81.44
43,0.85,51.00,64.00,75.36
44,0.79,51.00,64.00,81.04
45,0.73,51.00,57.00,78.06
46,0.77,51.00,59.00,76.48
47,0.82,51.00,66.00,80.28
48,0.76,51.00,57.00,74.74
49,0.70,51.00,57.00,81.09
50,0.86,51.00,64.00,74.35
51,0.80,51.00,66.00,82.09
52,0.74,51.00,57.00,76.56
53,0.79,51.00,64.00,81.32
54,0.73,51.00,57.00,78.36
55,0.77,51.00,57.00,73.67
56,0.81,51.00,64.00,78.98
57,0.85,51.00,64.00,75.45
58,0.79,51.00,66.00,83.68
60,0.67,51.00,59.00,88.47
59,0.82,51.00,66.00,80.35
61,0.70,51.00,57.00,81.36
62,0.73,51.00,64.00,87.39
63,0.67,51.00,59.00,87.70
64,0.73,51.00,64.00,87.81
